,initial,30cyc,60cyc,90cyc,120cyc,150cyc,180cyc,210cyc,225cyc,240cyc,255cyc,270cyc,300cyc,330cyc,360cyc,390cyc,405cyc,420cyc,435cyc,450cyc,465cyc,480cyc,485cyc,510cyc,540cyc,570cyc,575cyc,600cyc,630cyc,645cyc,660cyc,675cyc,690cyc,705cyc,720cyc,735cyc,750cyc,765cyc,780cyc,795cyc,800cyc,810cyc,820cyc,825cyc,840cyc,850cyc,855cyc,870cyc,880cyc,885cyc,900cyc,910cyc,915cyc,930cyc,940cyc,945cyc,960cyc,970cyc,975cyc,990cyc,1000cyc,1005cyc,1020cyc,1030cyc,1035cyc,1050cyc,1060cyc,1065cyc,1080cyc,1090cyc,1095cyc,1110cyc,1120cyc,1125cyc,1130cyc,1140cyc,1145cyc,1150cyc,1155cyc,1160cyc,1170cyc,1175cyc,1185cyc,1190cyc,1200cyc,1205cyc,1215cyc,1230cyc,1235cyc,1245cyc,1260cyc,1265cyc,1275cyc,1290cyc,1295cyc,1305cyc,1320cyc,1325cyc,1350cyc,1355cyc,1380cyc,1410cyc,1415cyc,1440cyc,1445cyc,1470cyc,1475cyc,1500cyc,1505cyc,1530cyc,1535cyc,1560cyc,1565cyc,1590cyc,1595cyc,1620cyc,1625cyc,1650cyc,1665cyc
1C4C_1-5,100,98.43244,97.07368,95.89473,94.88006,93.90694,93.01157,92.16597,,91.3197,,90.60006,89.84313,89.29124,88.81711,,,,,87.52893,,,,,86.22641,,,,84.91899,,,,,,83.75966,,83.37924,,83.24401,,,82.57954,,,82.24613,,,81.81294,,,81.40499,,,,,,80.57791,,,,,,79.79694,,79.47077,79.24351,,79.02491,78.60865,,78.40739,77.96953,,77.70829,,77.49923,,,77.20186,,76.97429,,76.64814,,,,75.9937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1C4C_1-6,100,98.34407,96.92033,95.68832,94.61954,93.59102,92.62561,91.70173,,90.81263,,89.95547,89.06182,88.42694,87.88341,,,,,86.51675,,,,,85.0182,,,,83.66283,,,,,,82.43451,,82.08284,,81.50144,,,81.1333,,,80.86538,,,80.56365,,,80.11205,,,,,,79.39529,,,,,,78.72861,,78.47943,78.14896,,78.04841,77.86489,,77.52974,77.1969,,76.90719,,76.69594,,,76.42342,,76.24615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2C0.5C_3-2,100,98.09358,95.1845,92.42498,89.96775,,,75.9844,72.2647,66.13528,57.59255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2C0.5C_3-3,100,98.55216,97.13033,95.81068,94.59107,,,91.63809,,,,,89.02902,,,86.58363,,,,,,84.15055,,,,81.75368,,,,,79.21371,78.70833,78.2792,77.73366,77.29951,76.6376,75.96987,75.44849,74.89453,74.28979,,73.65664,,72.9683,72.52482,,71.8984,71.23053,,70.51664,,,69.24288,68.78995,,69.21464,68.65242,,67.82177,67.30518,,66.64358,65.96755,,65.36027,64.83886,,64.28583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2C0.5C_3-4,100,98.47125,97.02033,95.6981,94.44695,,,91.40111,,,,,88.70424,,,86.21055,,,,,,83.75427,,,,81.219,,,,,78.27915,77.85459,77.39215,76.83644,76.21713,75.50729,74.72737,74.22304,73.56856,72.93809,,72.18087,,71.6142,71.08013,,70.482,69.74153,,69.0447,68.40805,,67.7216,66.99047,,67.35764,66.74998,,65.93627,65.39954,,64.77001,64.00009,,63.51859,63.03717,,62.38778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2C1C_2-5,100,98.45151,96.89176,95.44723,94.27406,93.10508,92.01133,91.04901,,90.04317,,89.37573,88.18831,87.29877,86.26977,,,,,84.32837,,,,,82.3651,,,,76.35826,75.2322,73.3622,70.71397,68.62518,63.49363,56.38415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2C1C_2-6,100,98.73113,96.90773,94.93206,92.85017,88.33003,82.41452,,,42.86047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2C1C_2-7,100,98.37266,95.85503,93.50581,91.72331,90.03554,87.5136,84.86914,,83.08667,,80.49217,75.98639,61.36071,42.67643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2C2C_3-2,100,98.34508,,93.54499,89.4094,83.51932,,37.36088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2C2C_3-3,100,98.17911,,92.75074,86.45773,80.36172,,34.13908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2C2C_3-4,100,98.29835,,93.57179,90.07429,85.1201,,53.93282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2C4C_1-7,100,97.40649,95.14892,92.89685,90.87447,89.28978,87.59459,86.01344,,,,,81.94503,79.48727,70.63979,46.79324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2C4C_1-8,100,97.60364,95.40788,93.2636,90.90348,88.41912,84.85745,79.92582,,,,,52.19825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2C4C_2-1,100,97.98275,96.02951,94.12405,92.06189,90.29131,88.62713,87.20417,,,,,83.03359,80.8841,78.99664,76.76429,76.62218,73.72005,67.30798,59.33226,47.35733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2C4C_2-2,100,98.13687,96.12624,94.14383,92.02895,90.28349,87.42041,83.89837,,,,,78.32578,68.41176,43.43433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2C4C_2-3,100,97.76462,95.14284,92.60962,90.22274,87.63085,83.91486,72.99654,,44.05679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2C4C_2-4,100,98.35602,96.42266,94.31105,91.99879,89.91335,86.07007,81.43947,,,,54.87342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
